id,Sample 1 ,Sample 2 ,Sample 3 ,Sample 4 ,Sample 5 ,Sample 6 ,Sample 7 ,Sample 8 ,Sample 10 ,Sample 11 ,Sample 12 ,Sample 13 ,Sample 14 ,Sample 15 ,Sample 16 ,Sample 17 ,Sample 18 ,Sample 19 ,Compound name
13730,880.295,1453.5603,6164.646,1676.8517,15636.55,30759.457,72824.49,2011.7281,19089.068,2053.0264,2131.3352,1896.7877,382493.84,733529.94,69971.945,2653.3538,62168.297,3508.7007,[D-Asp3]-Microcystin LR
8336,51.458347,93.78607,91.7103,263.25864,31.811916,260.5805,77.71573,139.58176,152.77092,612.45056,765.8309,273.23114,74.73718,344.96194,621.9377,279.48538,11834.843,577.55664,[D-Asp3]Microcystin RR
11479,0,0,0,21.524734,0,0,0,44.920753,0,0,0,0,23.752985,17.19594,0,6365.108,17.36417,425.35663,"2,5-Dimethoxy-4-bromophenethylamine"
11366,0,0,0,1281.6193,0,596.3351,781.5052,0,0,66.10236,189.18471,2713.524,0,0,869.52,0,0,0,3-Hydroxycarbofuran
5434,1315.543,2236.5718,3004.107,2163.7551,513.87866,16915.86,4372.6504,12314.431,1506.5002,2308.8728,3147.128,847.1894,3114.2664,9619.646,14759.942,11883.152,820484.94,6706.9004,6-Acetylmorphine
11337,2369.048,2270.1367,371.3717,993.5159,690.9919,1624.7965,1451.1086,1154.6853,904.0076,1369.5322,4082.2766,3253.5793,20231.129,24893.148,854.2374,1817.5243,8092.4624,1761.9132,7-Aminoflunitrazepam
15450,583.33496,478.15222,243.41011,411.9106,390.07776,12030.154,4220.3066,397.49188,1349.07,338.97174,3570.8623,1325.8359,14268.666,40304.87,4693.764,233.77461,2714.3206,293.31064,Abamectin
16452,863.95654,997.05853,243.41011,451.42538,236.47061,5077.6973,3020.5322,755.8229,1283.0508,239.98291,1311.8071,4203.9834,12395.317,60225.918,5339.6943,233.77461,860.087,1014.3129,Abamectin
5791,236.43906,3772.2302,446.05923,408.93686,19.439793,1554.1616,776.79767,668.8231,163.87982,202.64787,662.68787,378.2833,762.0841,538.1785,1165.3818,467.67978,591.56757,84.904755,AERUGINOSIN 98B
7350,338.86078,309.58582,337.97214,601.50085,121.105545,1247.4102,1153.5347,752.66785,279.6669,350.26566,1705.501,1493.5978,12228.116,19865.357,1697.7964,1256.9955,1611.5674,864.04443,Alprazolam
8057,289.4491,335.162,99.87207,513.4619,139.8772,1360.4711,1220.4751,732.56244,443.93005,105.38643,822.2483,1037.6056,10472.019,23459.51,2114.9988,1098.4978,2099.6763,437.60504,Amphetamine
12613,312.11218,88.984085,241.83112,263.11072,215.9912,1939.5535,3033.0974,473.3368,817.498,734.1022,1586.5991,784.55176,7406.4604,34720.46,5051.3354,443.5307,1012.1443,386.8744,Anabaenopeptin A
8691,431.53363,298.33087,394.87784,381.8543,307.49622,4500.1143,5376.0127,774.94244,773.8221,1693.5015,924.0102,348.67966,29142.45,103822.04,11541.097,1001.9111,7946.2075,715.78253,Anabaenopeptin B
13540,296.56268,914.89844,571.1516,768.7472,465.4158,4567.4854,4932.616,1160.1006,1401.7972,1009.9811,1516.3972,1005.1656,11068.275,33434.227,5321.713,1392.991,7686.8447,2790.739,Atrazine
12944,281.06458,388.07965,219.47871,93.078064,67.70578,458.87064,156.08212,241.86685,936.1433,1149.3699,2165.6814,7018.9805,486.4741,1180.9423,6347.1504,147.27988,17980.688,2043.9265,Atrazine-desisopropyl
9236,597.1013,443.8623,393.55704,17.984787,21.88263,25.936396,56.04138,361.26974,48.81214,72.96673,40.45828,24.89149,314.03226,309.15228,65.41588,3528.3293,1617.2654,134.05234,Azoxystrobin
4746,0,0,0,0,0,24.053436,128.82353,0,60.257713,48.516922,164.03775,38.54568,134.25041,104.93586,556.17883,196.0439,37.78083,264.42792,Benzoylecgonine
25872,6528.1797,301.56793,70.476685,81.11013,0,113.04309,87.63533,132.41225,148.50008,44.48725,74.50712,168.20203,222.37909,194.39066,44.985203,119.17988,221.42426,79.21415,Bifenazate
13481,60.67068,106.81059,62.343132,63.34411,0,731.04913,2027.9567,75.902405,464.28632,114.93643,67.497765,158.4304,8259.938,33644.76,3544.4148,142.963,602.4144,144.473,Boscalid
11202,107.14695,191.36557,350.7859,24.64199,176.7982,167.0662,17.583065,562.61145,31.72229,213.95126,32.988655,0,408.4069,195.64006,121.250114,1497.1223,13409.554,26.01419,Buprenorphine
3990,20.299902,102.15191,23.307295,117.46958,0,20726.99,44.3371,0,18.363789,0,18.299866,0,0,0,0,0,0,0,Caffeine
11979,100.22899,70.604965,30.802488,48.65818,0,208.83804,54.106537,126.63781,23.159279,85.7182,82.9396,22.156162,249.93834,348.90387,68.29967,176.2965,91.386475,37.806984,Carbofuran
9750,177.24934,452.21463,97.320724,4149.3335,24.662586,425.19464,251.21678,292.7947,153.42422,274.59323,179.2989,23.301607,479.20862,674.23065,454.46896,457.47687,379.11597,174.18805,Chlorfluazuron
3658,0,0,0,0,0,0,0,1708.9033,0,0,0,0,0,0,0,0,0,0,Chloroxuron
15986,1392.7358,1940.7642,7343.6416,525.39087,10235.412,7464.097,13233.879,898.15344,2111.3643,1638.866,2949.1084,3670.1091,85335.21,49569.727,9354.513,3242.609,61838.773,4883.3604,Chlortoluron
6208,164.33606,268.63623,161.91928,135.72682,200.68173,515.34125,1858.6328,212.66298,451.95035,223.33269,544.42395,321.59427,4321.935,8206.861,631.9037,888.05365,1471.4883,509.21835,Cocaine
